Name,Mean (ps),2*Stdev (ps)
All.Sequence.scanl nf.Seq,63111200,3681740
All.Sequence.scanl nf.MSeq,63770303,6165504
All.Sequence.scanl nf.Sequence,267093460,24072808
All.Sequence.scanr.Seq,33362408,2755400
All.Sequence.scanr.MSeq,35270752,1761212
All.Sequence.scanr.Sequence,38830,1738
All.Sequence.scanr nf.Seq,63741319,5826402
All.Sequence.scanr nf.MSeq,64143530,6402326
All.Sequence.scanr nf.Sequence,280701529,23645076
All.Sequence.sort random.Seq,1405030587,112580794
All.Sequence.sort random.MSeq,1360495456,127693988
All.Sequence.sort random.Sequence,2793348262,145782658
All.Sequence.sort random.Sequence unstable,2575480512,243648226
All.Sequence.sort asc.Seq,185659529,12673628
All.Sequence.sort asc.MSeq,175324158,10762890
All.Sequence.sort asc.Sequence,706028212,42874800
All.Sequence.sort asc.Sequence unstable,613198971,44698410
All.Sequence.zipWith.Seq,121623478,10671560
All.Sequence.zipWith.MSeq,123822346,5815786
All.Sequence.zipWith.Sequence,32997,2998
All.Sequence.zipWith.RRBVector,266301117,25221448
All.Sequence.zipWith nf.Seq,155813071,10491396
All.Sequence.zipWith nf.MSeq,159153135,13734202
All.Sequence.zipWith nf.Sequence,559676696,45186754
All.Sequence.zipWith nf.RRBVector,330875175,24023188
All.Sequence.zipWith3.Seq,179569082,14066026
All.Sequence.zipWith3.MSeq,181963657,16999930
All.Sequence.zipWith3.Sequence,64141,5674
All.Sequence.zipWith3 nf.Seq,214356813,3265604
All.Sequence.zipWith3 nf.MSeq,217018473,13085440
All.Sequence.zipWith3 nf.Sequence,1234126750,89799232
All.Sequence.unzipWith.Seq,162479148,11276446
All.Sequence.unzipWith.MSeq,75250603,6305082
All.Sequence.unzipWith.Sequence,34897,1468
All.Sequence.unzipWith.RRBVector,57816305,5618332
All.Sequence.unzipWith nf.Seq,242374255,3749616
All.Sequence.unzipWith nf.MSeq,143284446,11552046
All.Sequence.unzipWith nf.Sequence,483715859,42005164
All.Sequence.unzipWith nf.RRBVector,120001817,11254458
All.Sequence.mconcat.Seq,128417830,7165976
All.Sequence.mconcat.Sequence,211652715,6555730
All.Sequence.mconcat.RRBVector,13425096000,808981442
All.Sequence.binarySearchFind.Seq,394602157,25055400
All.Sequence.binarySearchFind.MSeq,395380489,24577992
All.Sequence.isPrefixOf.Seq,119680055,6482102
All.Sequence.isPrefixOf.MSeq,131212539,10487542
All.Sequence.infixIndices full.Seq,205962069,14261250
All.Sequence.infixIndices all.Seq,173240335,10738236
All.Sequence.binarySearchPrefix.MSeq,400474717,22782722
All.Sequence.binarySearchSuffix.MSeq,411675501,28137016
All.Sequence.measured split.MSeq,2853392550,195654438
All.Sequence.measured split.FingerTree,31815992400,1624502490
All.PQueue.fromList.seqn,358259134,24751126
All.PQueue.fromList.pqueue,219032451,11981938
All.PQueue.fromList.fingertree,1741340075,132665382
All.PQueue.insert.seqn,2954249418,200076346
All.PQueue.insert.pqueue,309521276,24725628
All.PQueue.insert.fingertree,1185864478,67057944
All.PQueue.minView.seqn,3166022637,274531680
All.PQueue.minView.pqueue,3529249112,303059770
All.PQueue.minView.fingertree,100287569200,4527082406
All.PQueue.sort list.seqn,3709893812,220249340
All.PQueue.sort list.pqueue,3826252175,200426206
All.PQueue.sort list.fingertree,105477957000,9374178338
